duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:21:20,4600,0.0904998654127121,1822.9949394166877,1000.0,16.940342949373896
0:21:48,4700,0.08837514266371727,2692.5022221247937,1000.0,23.943925306098595
0:22:15,4800,0.08788972571492196,3168.6558342953076,1000.0,27.779179022320356
0:22:43,4900,0.08491212002933025,2888.8516330442035,1000.0,25.525452335734876
0:23:10,5000,0.08403476357460021,2901.343631568555,1000.0,25.626071090983128
0:23:38,5100,0.08166310600936413,2303.3406405236947,1000.0,20.809362501371066
0:24:05,5200,0.08117769435048103,2749.9052385982727,1000.0,24.40628687729132
0:24:33,5300,0.07957220941781998,2087.8550107536184,1000.0,19.073699805039116
0:25:00,5400,0.07859855450689793,1671.6796678280466,1000.0,15.721550436100642
0:25:28,5500,0.07715587168931962,3002.668240415789,1000.0,26.44220599512601
0:25:55,5600,0.07579587303102016,2635.3030731989033,1000.0,23.48320581794278
0:26:22,5700,0.07472566425800324,3569.7755006297325,1000.0,31.010060090188475
0:26:49,5800,0.07406453892588616,3060.238724509674,1000.0,26.90591646045099
0:27:17,5900,0.0722687716037035,3219.495055628395,1000.0,28.188671479300226
0:27:45,6000,0.07141946729272604,3487.2826755695814,1000.0,30.345608732922962
0:28:12,6100,0.07084653932601213,3702.9596814002493,1000.0,32.082812897656744
0:28:40,6200,0.06988365158438682,2778.5651147908175,1000.0,24.637132331078508
0:29:07,6300,0.0692059276252985,3436.4853007610777,1000.0,29.936453335318085
0:29:35,6400,0.06818865921348333,3897.8833213520447,1000.0,33.65285583211395
0:30:02,6500,0.0675203338265419,3447.146254021153,1000.0,30.022323650199844
0:30:29,6600,0.06643117092549801,3973.9055144264566,1000.0,34.2651884723619
0:30:57,6700,0.06570949103683234,3767.6232802232166,1000.0,32.60365596458122
0:31:24,6800,0.064666579477489,3181.57555991698,1000.0,27.883242972349446
0:31:52,6900,0.06373731590807438,3868.5388173446618,1000.0,33.41649593655004
0:32:19,7000,0.0633472204953432,4110.952949774364,1000.0,35.36905846784666
0:32:46,7100,0.0628714295476675,4343.006209745128,1000.0,37.23816773199216
0:33:14,7200,0.06141019638627768,4183.138998974191,1000.0,35.95049228747263
0:33:41,7300,0.0611110120266676,4386.341461018108,1000.0,37.58721828887123
0:34:08,7400,0.05998071689158678,4293.16294911807,1000.0,36.83669739623824
0:34:36,7500,0.059286071583628655,3835.5393990237185,1000.0,33.15069696219882
0:35:03,7600,0.05904442846775055,4758.783252884457,1000.0,40.58710893302786
0:35:30,7700,0.058288184367120265,4791.266003302971,1000.0,40.84874632497752
0:35:58,7800,0.057520129643380644,4516.280527587427,1000.0,38.63383281662977
0:36:26,7900,0.05670076467096805,3928.852683739349,1000.0,33.90230340354683
0:36:54,8000,0.05614825654774904,4894.178204122014,1000.0,41.6776687368786
0:37:21,8100,0.05526526283472776,4801.8575294707625,1000.0,40.93405742848951
0:37:48,8200,0.055937583334743975,4971.030745190484,1000.0,42.296689544870254
0:38:16,8300,0.05533768724650145,4517.420802036202,1000.0,38.64301733546024
0:38:43,8400,0.05482041105628013,4568.387234987972,1000.0,39.05353443831243
0:39:11,8500,0.05349003326147795,4954.452425340134,1000.0,42.163156875602176
0:39:39,8600,0.05391915164887905,4536.235045870422,1000.0,38.79455960404489
0:40:06,8700,0.05321140967309475,4689.832019547389,1000.0,40.0317304435345
0:40:33,8800,0.052513382509350774,4930.276006628296,1000.0,41.96842413108546
0:41:01,8900,0.05192779049277305,4721.438297757164,1000.0,40.28630815304176
0:41:28,9000,0.05203000195324421,4507.127305588854,1000.0,38.56010675892876
0:41:56,9100,0.051698968410491944,4629.809239048805,1000.0,39.54826757339938
0:42:23,9200,0.050326685421168804,5004.946449897966,1000.0,42.56986889118396
0:42:50,9300,0.05075975686311722,5050.614239495508,1000.0,42.93770724269243
0:43:18,9400,0.04968950662761926,5006.24961323108,1000.0,42.580365424001144
0:43:45,9500,0.05019066274166107,4821.059415216133,1000.0,41.08872201945563
0:44:13,9600,0.049082524850964544,3869.6482726009185,1000.0,33.42543221737577
0:44:40,9700,0.04844164222478867,4562.268896413901,1000.0,39.004253323660485
0:45:08,9800,0.04828441377729178,4986.46689679914,1000.0,42.42102244145671
0:45:35,9900,0.04819107871502638,3986.7302325314713,1000.0,34.36848716949357
0:46:03,10000,0.048519133292138576,5001.973166481112,1000.0,42.54592011502769
0:46:31,10100,0.047430793009698394,4957.43044064356,1000.0,42.18714376547867
0:46:58,10200,0.04775850534439087,4603.103336939897,1000.0,39.33316070937424
0:47:25,10300,0.04665050383657217,4847.717344550916,1000.0,41.303442479271006
0:47:53,10400,0.0467537971585989,4988.290963540482,1000.0,42.43571467221912
0:48:20,10500,0.04597364723682404,4673.892833131505,1000.0,39.90334577444334
0:48:48,10600,0.046645872555673124,4875.320244979566,1000.0,41.52577435650891
0:49:15,10700,0.04584549762308598,4951.737243685532,1000.0,42.14128702044438
0:49:42,10800,0.04524834435433149,4594.798922818796,1000.0,39.26627150743411
0:50:10,10900,0.04502670329064131,4871.327594896747,1000.0,41.493614932162835
0:50:37,11000,0.044666882269084454,4614.337020678764,1000.0,39.423644171444295
0:51:04,11100,0.043923421390354635,4998.285700320959,1000.0,42.516218842302486
0:51:32,11200,0.04455430325120688,5035.340093043106,1000.0,42.81467924196667
0:51:59,11300,0.04447721507400274,4780.765633393018,1000.0,40.764169453796654
0:52:26,11400,0.044197061099112034,5034.301049956632,1000.0,42.80631010697145
0:52:54,11500,0.04418921891599894,5070.789745484528,1000.0,43.100214010137336
0:53:22,11600,0.04386120047420263,4816.827688628107,1000.0,41.05463691601858
0:53:54,11700,0.042983717061579226,4911.465209847867,1000.0,41.816909627334525
0:54:22,11800,0.04287682596594095,4707.078195107113,1000.0,40.1706424610335
0:54:50,11900,0.04314782101660967,4913.4734033647155,1000.0,41.83308493599863
0:55:17,12000,0.04271706335246563,4584.5008003828425,1000.0,39.183323670154124
0:55:45,12100,0.04293158460408449,4979.113313776282,1000.0,42.36179185726056
0:56:12,12200,0.04302726477384567,5014.386179051639,1000.0,42.64590266556135
0:56:40,12300,0.042482958771288395,5040.012796780235,1000.0,42.8523162647983
0:57:07,12400,0.04155253190547228,4979.475599168009,1000.0,42.36470994159183
0:57:35,12500,0.0420973202958703,4294.676495387038,1000.0,36.8488884913058
0:58:02,12600,0.04198410116136074,4997.232224770008,1000.0,42.507733458765614
0:58:29,12700,0.04155763871967792,4935.979828512483,1000.0,42.01436645624872
0:58:57,12800,0.04128145672380924,4996.712507353155,1000.0,42.50354731357334
0:59:24,12900,0.040988856367766856,5023.113322071553,1000.0,42.71619680351096
0:59:52,13000,0.04128929030150175,4856.518105860778,1000.0,41.37432958724729
1:00:20,13100,0.040933935754001144,5038.606195946469,1000.0,42.84098657845958
1:00:47,13200,0.0411022624000907,5048.922612630516,1000.0,42.924081769621154
1:01:15,13300,0.04053767930716276,4964.935925045971,1000.0,42.24759786308632
1:01:42,13400,0.04094157513231039,5037.990990876015,1000.0,42.8360313130318
1:02:11,13500,0.03950948935002088,5021.456251108577,1000.0,42.70284966635532
1:02:39,13600,0.04019030898809433,5003.414024585403,1000.0,42.557525731908015
1:03:06,13700,0.03986798405647278,5021.584293934346,1000.0,42.70388100731507
1:03:34,13800,0.040183973275125025,4977.780171181775,1000.0,42.35105385179521
1:04:02,13900,0.0401476414874196,4800.162977717427,1000.0,40.92040839644775
1:04:29,14000,0.0392570922523737,4992.423403289102,1000.0,42.46900005428461
1:04:57,14100,0.039165541715919974,4650.809752698118,1000.0,39.71741949403472
1:05:25,14200,0.0393249961733818,4995.184686342919,1000.0,42.49124124037037
1:05:53,14300,0.03923071805387735,5006.705223721909,1000.0,42.584035209934584
1:06:20,14400,0.038980237133800985,5017.845371369805,1000.0,42.673765270935476
1:06:58,14500,0.03978114198893309,5014.477799603504,1000.0,42.64664063762129
1:07:33,14600,0.03833754047751427,5004.69620201773,1000.0,42.567853230506145
1:08:06,14700,0.03874169554561377,4531.512498021814,1000.0,38.75652110402418
1:08:37,14800,0.038895750157535075,4984.017308438135,1000.0,42.40129184900791
1:09:04,14900,0.03917961470782757,4972.725327620375,1000.0,42.310338824001114
1:09:32,15000,0.03843617357313633,5055.530138036226,1000.0,42.977303116093275
1:09:59,15100,0.03888559389859438,4789.969437683505,1000.0,40.838302934476474
1:10:28,15200,0.03848989751189947,5075.431954428535,1000.0,43.137605407889886
1:10:56,15300,0.038144539669156076,5020.3384337454445,1000.0,42.69384603163234
1:11:27,15400,0.038408829756081106,4972.241101543641,1000.0,42.30643854935693
1:11:55,15500,0.0383669700846076,4949.365308284581,1000.0,42.122181895903445
1:12:29,15600,0.03871394880115986,4942.25383327071,1000.0,42.06490140851947
1:12:57,15700,0.03779404971748591,5048.171733012607,1000.0,42.91803369233808
